Time,TraceSource,NodeId,MsgType,TxRemaining,PacketHex,PacketLength
60.227951467,USMsgRx,37,2,0,28ffffffffffffff0000,10
60.699157386,USMsgRx,780,2,0,27ffffffffffffff0000,10
60.753008001,USMsgRx,592,2,0,25ffffffffffffff0000,10
60.828633631,USMsgRx,83,2,0,24ffffffffffffff0000,10
61.046079275,USMsgRx,275,2,0,22ffffffffffffff0000,10
61.229502327,USMsgRx,825,2,0,21ffffffffffffff0000,10
61.288600211,USMsgRx,555,2,0,23ffffffffffffff0000,10
61.365721133,USMsgRx,872,2,0,20ffffffffffffff0000,10
62.681834826,USMsgRx,495,2,0,1effffffffffffff0000,10
62.853732010,USMsgRx,222,2,0,1fffffffffffffff0000,10
62.915600302,USMsgRx,229,2,0,1dffffffffffffff0000,10
63.783588147,USMsgRx,94,2,0,1bffffffffffffff0000,10
63.837980629,USMsgRx,326,2,0,1affffffffffffff0000,10
63.997871218,USMsgRx,753,2,0,1cffffffffffffff0000,10
64.471676102,USMsgRx,209,2,0,19ffffffffffffff0000,10
65.234712933,USMsgRx,661,2,0,17ffffffffffffff0000,10
65.391650799,USMsgRx,576,2,0,16ffffffffffffff0000,10
65.401608777,USMsgRx,359,2,0,18ffffffffffffff0000,10
65.539718095,USMsgRx,794,2,0,15ffffffffffffff0000,10
65.776745676,USMsgRx,49,2,0,14ffffffffffffff0000,10
66.002949520,USMsgRx,650,2,0,12ffffffffffffff0000,10
66.115825924,USMsgRx,643,2,0,13ffffffffffffff0000,10
66.246481506,USMsgRx,357,2,0,11ffffffffffffff0000,10
67.231044347,USMsgRx,11,2,0,10ffffffffffffff0000,10
67.554586548,USMsgRx,525,2,0,0effffffffffffff0000,10
67.733419876,USMsgRx,307,2,0,0dffffffffffffff0000,10
67.874786588,USMsgRx,683,2,0,0cffffffffffffff0000,10
68.290999642,USMsgRx,552,2,0,0bffffffffffffff0000,10
68.548966223,USMsgRx,15,2,0,0affffffffffffff0000,10
68.810450633,USMsgRx,699,2,0,0fffffffffffffff0000,10
69.690826688,USMsgRx,580,2,0,09ffffffffffffff0000,10
70.400904888,USMsgRx,179,2,0,08ffffffffffffff0000,10
71.630020592,USMsgRx,156,2,0,07ffffffffffffff0000,10
71.909443868,USMsgRx,782,2,0,05ffffffffffffff0000,10
72.334776125,USMsgRx,651,2,0,04ffffffffffffff0000,10
72.337051764,USMsgRx,517,2,0,03ffffffffffffff0000,10
72.711781753,USMsgRx,589,2,0,02ffffffffffffff0000,10
72.941962860,USMsgRx,807,2,0,01ffffffffffffff0000,10
73.184279906,USMsgRx,664,2,0,fffeffffffffffff0000,10
73.245678439,USMsgRx,70,2,0,00ffffffffffffff0000,10
73.353571395,USMsgRx,303,2,0,fefeffffffffffff0000,10
73.661278120,USMsgRx,12,2,0,fdfeffffffffffff0000,10
73.944541069,USMsgRx,581,2,0,fcfeffffffffffff0000,10
74.788174193,USMsgRx,923,2,0,fbfeffffffffffff0000,10
75.080126410,USMsgRx,196,2,0,fafeffffffffffff0000,10
75.184828950,USMsgRx,101,2,0,f9feffffffffffff0000,10
75.287371628,USMsgRx,810,2,0,f7feffffffffffff0000,10
76.458176929,USMsgRx,710,2,0,f6feffffffffffff0000,10
76.902640462,USMsgRx,337,2,0,f5feffffffffffff0000,10
77.233737773,USMsgRx,590,2,0,f4feffffffffffff0000,10
77.642265320,USMsgRx,13,2,0,f3feffffffffffff0000,10
77.981429568,USMsgRx,766,2,0,f2feffffffffffff0000,10
78.735390015,USMsgRx,17,2,0,f1feffffffffffff0000,10
79.470501336,USMsgRx,600,2,0,edfeffffffffffff0000,10
80.042777411,USMsgRx,730,2,0,ecfeffffffffffff0000,10
80.354205284,USMsgRx,407,2,0,ebfeffffffffffff0000,10
80.747965661,USMsgRx,705,2,0,e9feffffffffffff0000,10
80.842837119,USMsgRx,882,2,0,e8feffffffffffff0000,10
81.256021255,USMsgRx,718,2,0,e6feffffffffffff0000,10
82.180834476,USMsgRx,442,2,0,e5feffffffffffff0000,10
82.326207430,USMsgRx,812,2,0,e2feffffffffffff0000,10
82.460810829,USMsgRx,339,2,0,e3feffffffffffff0000,10
82.495399717,USMsgRx,463,2,0,e1feffffffffffff0000,10
