Time,DeviceType,NodeId,IfIndex,MacIndex,TraceSource,OldState,NewState
6.232184421,1,467,0,0,MacState,2,3
6.243683954,1,335,0,0,MacState,2,3
6.244728421,1,467,0,0,MacState,3,4
6.250642737,1,1177,0,0,MacState,3,4
6.276640713,1,4135,0,0,MacState,1,2
6.293859954,1,335,0,0,MacState,3,4
6.303936084,1,3102,0,0,MacState,1,2
6.356302741,1,3978,0,0,MacState,2,3
6.358561871,1,881,0,0,MacState,4,5
6.368846741,1,3978,0,0,MacState,3,4
6.370785884,1,1367,0,0,MacState,0,1
6.374479300,1,4636,0,0,MacState,0,1
6.375875333,1,343,0,0,MacState,4,5
6.384705083,1,4705,0,0,MacState,0,1
6.409014769,1,3405,0,0,MacState,0,1
6.417650677,1,1459,0,0,MacState,5,0
6.420920667,1,366,0,0,MacState,5,0
6.426488872,1,826,0,0,MacState,0,1
6.432481884,1,1367,0,0,MacState,1,2
6.440970078,1,832,0,0,MacState,0,1
6.442243516,1,4904,0,0,MacState,2,3
6.446401083,1,4705,0,0,MacState,1,2
6.451394848,1,3409,0,0,MacState,2,3
6.454787516,1,4904,0,0,MacState,3,4
6.470710769,1,3405,0,0,MacState,1,2
6.475669602,1,4183,0,0,MacState,5,0
6.487186148,1,1107,0,0,MacState,0,1
6.494355150,1,364,0,0,MacState,5,0
6.505969001,1,3987,0,0,MacState,4,5
6.539535466,1,592,0,0,MacState,0,1
6.539640872,1,826,0,0,MacState,1,2
6.551746848,1,3409,0,0,MacState,3,4
6.569063447,1,1313,0,0,MacState,2,3
6.570539339,1,3084,0,0,MacState,5,0
6.580303300,1,4636,0,0,MacState,1,2
6.586776429,1,593,0,0,MacState,4,5
6.589372010,1,4328,0,0,MacState,5,0
6.594151447,1,1313,0,0,MacState,3,4
6.598337316,1,3624,0,0,MacState,2,3
6.600338148,1,1107,0,0,MacState,1,2
6.601231466,1,592,0,0,MacState,1,2
6.612050317,1,1004,0,0,MacState,4,5
6.625908676,1,3986,0,0,MacState,2,3
6.627117782,1,111,0,0,MacState,4,5
6.631933748,1,485,0,0,MacState,2,3
6.644477748,1,485,0,0,MacState,3,4
6.651942377,1,472,0,0,MacState,4,5
6.676084676,1,3986,0,0,MacState,3,4
6.706779658,1,3414,0,0,MacState,0,1
6.709171367,1,3211,0,0,MacState,2,3
6.725095323,1,2556,0,0,MacState,2,3
6.737639323,1,2556,0,0,MacState,3,4
6.759969871,1,881,0,0,MacState,5,0
6.774694800,1,3024,0,0,MacState,0,1
6.777283333,1,343,0,0,MacState,5,0
6.784203110,1,4506,0,0,MacState,2,3
6.796747110,1,4506,0,0,MacState,3,4
6.799041316,1,3624,0,0,MacState,3,4
6.811658078,1,832,0,0,MacState,1,2
6.819931658,1,3414,0,0,MacState,1,2
6.820870845,1,3122,0,0,MacState,2,3
6.862541359,1,1636,0,0,MacState,2,3
6.871046845,1,3122,0,0,MacState,3,4
6.872446237,1,116,0,0,MacState,2,3
6.875085359,1,1636,0,0,MacState,3,4
6.881438550,1,1130,0,0,MacState,4,5
6.887846800,1,3024,0,0,MacState,1,2
6.897534237,1,116,0,0,MacState,3,4
6.901351857,1,2580,0,0,MacState,4,5
6.907377001,1,3987,0,0,MacState,5,0
6.909875367,1,3211,0,0,MacState,3,4
6.960440872,1,3439,0,0,MacState,4,5
6.965052019,1,1555,0,0,MacState,4,5
6.969810516,1,4267,0,0,MacState,2,3
6.980555120,1,459,0,0,MacState,0,1
6.982354516,1,4267,0,0,MacState,3,4
6.988184429,1,593,0,0,MacState,5,0
7.013458317,1,1004,0,0,MacState,5,0
