DeviceType,NodeId,Position x,Position y,DistanceToClosestGW,DataRateIndex
456,1,-931.363,-830.818,1248.08,5
457,1,721.244,-1148.1,1355.85,5
458,1,1093.52,-2760.64,2969.33,2
459,1,-2136.6,-1643.26,2695.43,3
460,1,19.488,1544.42,1544.55,5
461,1,-512.478,-1730.5,1804.79,4
462,1,75.6361,670.394,674.647,5
463,1,-373.976,1357.25,1407.83,5
464,1,-1610.13,-2220.96,2743.21,2
465,1,-195.122,-2327.46,2335.63,3
466,1,-138.223,2428.88,2432.81,3
467,1,312.172,213.378,378.129,5
468,1,-1892.96,394.202,1933.57,4
469,1,52.003,-2675.13,2675.63,3
470,1,2244.81,133.347,2248.77,3
471,1,209.436,-1404.83,1420.36,5
472,1,-975.414,2388.69,2580.17,3
473,1,586.899,-171.53,611.452,5
474,1,-959.173,2626.5,2796.16,2
475,1,-1251.29,-920.953,1553.67,5
476,1,-885.665,2014.47,2200.57,3
477,1,840.104,-1407.47,1639.13,5
478,1,-300.835,-2137.72,2158.78,4
479,1,-795.648,-2853.49,2962.34,2
480,1,847.714,-2469.99,2611.42,3
481,1,-1425.88,1054.52,1773.46,4
482,1,-273.454,-1412.12,1438.36,5
483,1,722.538,-1031.74,1259.58,5
484,1,-904.993,1275.42,1563.88,5
485,1,1132.59,1112.5,1587.59,5
486,1,199.158,-1962.72,1972.79,4
487,1,-708.393,-2897.2,2982.54,2
488,1,1420.35,1144.77,1824.25,4
489,1,-2843.75,-31.3872,2843.92,2
490,1,-2140.54,-1729.99,2752.23,2
491,1,1516.97,-2314.24,2767.11,2
492,1,-1490.61,-353.952,1532.06,5
493,1,-307.928,27.3924,309.144,5
494,1,1783.8,-218.353,1797.12,4
495,1,982.86,1470.5,1768.72,4
496,1,-155.044,-1343.7,1352.61,5
497,1,2318.39,1597.38,2815.41,2
498,1,2136.76,-748.362,2264.02,3
499,1,393.319,1655.73,1701.8,5
500,1,-449.139,-21.6288,449.66,5
501,1,558.559,2705.55,2762.61,2
502,1,-209.046,2072.42,2082.94,4
503,1,-457.09,-1158.86,1245.75,5
504,1,-411,-2568.76,2601.43,3
505,1,1131.95,932.059,1466.3,5
506,1,-1247.52,399.575,1309.95,5
507,1,-1779.74,-1192.38,2142.25,4
508,1,-1320.96,1682.31,2138.95,4
509,1,478.019,110.582,490.643,5
510,1,2183.95,59.5024,2184.76,3
511,1,-1268.39,-886.837,1547.67,5
512,1,1710.26,525.133,1789.07,4
513,1,1973.39,-1831.07,2692.05,3
514,1,-450.067,2839.59,2875.04,2
515,1,-1699.88,1020.52,1982.68,4
516,1,638.207,2189.33,2280.46,3
517,1,1223.48,1154.38,1682.11,5
518,1,-1981.14,-1752.63,2645.12,3
519,1,-1559.17,6.53845,1559.19,5
520,1,1052.54,-910.333,1391.6,5
521,1,2234.87,-1728.14,2825.08,2
522,1,-2116.47,-1319.09,2493.88,3
523,1,-1786.91,1968.28,2658.41,3
524,1,-1577.54,-125.429,1582.52,5
525,1,629.733,-1158.01,1318.16,5
526,1,-2663.35,-393.463,2692.25,3
527,1,-2686.34,105.008,2688.39,3
528,1,1305.83,-2456.85,2782.32,2
529,1,1035.16,-1568.35,1879.17,4
530,1,909.784,-1520.26,1771.69,4
531,1,-1396.43,-1543.44,2081.4,4
532,1,-346.07,-395.702,525.685,5
533,1,1302.6,-1800.24,2222.07,3
534,1,-2158.59,-203.788,2168.19,3
535,1,1273.48,-1212.57,1758.43,4
536,1,-1432.13,-2310.02,2717.93,2
537,1,-419.005,-698.088,814.182,5
538,1,660.555,811.679,1046.5,5
539,1,-1927.2,1268.31,2307.1,3
540,1,471.135,-141.01,491.784,5
541,1,-2338.31,1035.26,2557.23,3
542,1,-2491.92,-1550.34,2934.83,2
543,1,2370.5,384.715,2401.51,3
544,1,-2034.1,1717.08,2661.94,3
545,1,-207.148,2973.74,2980.94,2
546,1,64.4964,879.744,882.105,5
547,1,-1003.92,-2168.86,2389.94,3
548,1,-708.144,1493.55,1652.92,5
549,1,2080.51,-856.619,2249.96,3
550,1,661.17,-2804.2,2881.09,2
551,1,1018.63,-18.9507,1018.8,5
552,1,-165.32,-2885.5,2890.23,2
553,1,-1450.46,-2337.78,2751.19,2
554,1,1721.29,-1600.64,2350.5,3
555,1,-184.385,2454.93,2461.85,3
556,1,-2661.32,820.537,2784.94,2
557,1,47.7016,-1521.63,1522.37,5
558,1,-1046.39,43.6598,1047.3,5
559,1,1442.25,2408.06,2806.92,2
560,1,2336.45,506.229,2390.66,3
561,1,1087.15,-1162.81,1591.86,5
562,1,2559.41,610.849,2631.3,3
563,1,-1182.45,-607.697,1329.47,5
564,1,1978.9,1471.11,2465.81,3
565,1,-1179.57,-631.546,1338,5
566,1,637.577,-812.746,1032.99,5
567,1,832.841,-122.83,841.85,5
568,1,-842.731,1188.23,1456.73,5
569,1,-1215.36,-2211.87,2523.78,3
570,1,1357.95,-1541.57,2054.38,4
571,1,-1989.5,152.939,1995.37,4
572,1,-846.77,1102.51,1390.16,5
573,1,677.964,-1638.08,1772.84,4
574,1,-758.069,324.47,824.59,5
575,1,-708.208,-2428.56,2529.71,3
576,1,-1454.4,-1275.56,1934.51,4
577,1,222.179,2205.98,2217.14,3
578,1,914.422,-735.435,1173.47,5
579,1,1975.86,-1518.54,2491.98,3
580,1,-601.199,-2621.7,2689.75,3
581,1,538.32,-1241.65,1353.33,5
582,1,-1239.94,-238.354,1262.64,5
